timestamp,temperature_c,current_ka,power_mw
2026-06-01 00:00:00,1057.5,78.7,23.49
2026-06-01 00:02:00,1047.9,61.54,37.22
2026-06-01 00:04:00,1073.7,91.47,37.83
2026-06-01 00:06:00,1061.5,66.61,24.24
2026-06-01 00:08:00,1053.6,69.1,32.42
2026-06-01 00:10:00,1021.3,65.89,25.89
2026-06-01 00:12:00,1072.0,77.63,32.95
2026-06-01 00:14:00,1046.6,77.89,23.24
2026-06-01 00:16:00,1041.0,72.3,21.99
2026-06-01 00:18:00,1045.6,60.59,37.97
2026-06-01 00:20:00,1062.3,76.84,31.55
2026-06-01 00:22:00,1031.7,87.26,34.59
2026-06-01 00:24:00,1061.1,66.99,21.46
2026-06-01 00:26:00,1052.6,71.92,25.56
2026-06-01 00:28:00,1043.1,75.59,22.47
2026-06-01 00:30:00,1065.9,63.82,40.53
2026-06-01 00:32:00,1119.8,83.45,33.63
2026-06-01 00:34:00,1059.2,84.06,21.94
2026-06-01 00:36:00,1037.4,77.44,25.99
2026-06-01 00:38:00,1045.4,68.87,26.27
2026-06-01 00:40:00,1062.2,75.39,23.0
2026-06-01 00:42:00,1070.3,84.86,32.24
2026-06-01 00:44:00,1049.5,72.77,20.48
2026-06-01 00:46:00,1073.5,63.29,33.9
2026-06-01 00:48:00,1051.4,67.62,28.28
2026-06-01 00:50:00,1020.2,63.88,20.05
2026-06-01 00:52:00,1037.9,83.03,32.06
2026-06-01 00:54:00,1042.5,83.36,23.36
2026-06-01 00:56:00,1051.5,87.03,26.43
2026-06-01 00:58:00,1064.5,68.29,29.27
2026-06-01 01:00:00,1147.4,75.77,28.57
2026-06-01 01:02:00,1066.9,63.99,26.95
2026-06-01 01:04:00,1060.5,80.85,27.15
2026-06-01 01:06:00,1069.0,89.48,25.34
2026-06-01 01:08:00,1034.2,58.23,30.75
2026-06-01 01:10:00,1062.5,61.5,25.55
2026-06-01 01:12:00,1060.1,74.4,39.57
2026-06-01 01:14:00,1067.5,80.62,35.46
2026-06-01 01:16:00,1074.8,80.16,33.26
2026-06-01 01:18:00,1049.3,61.34,36.02
2026-06-01 01:20:00,1048.1,76.24,32.81
2026-06-01 01:22:00,1134.4,74.51,24.11
2026-06-01 01:24:00,1047.0,70.01,37.94
2026-06-01 01:26:00,1070.0,70.94,22.62
2026-06-01 01:28:00,1075.1,77.88,31.2
2026-06-01 01:30:00,1044.5,60.95,37.02
2026-06-01 01:32:00,1066.8,70.87,34.71
2026-06-01 01:34:00,1074.7,87.79,36.18
2026-06-01 01:36:00,1052.7,85.94,31.62
2026-06-01 01:38:00,1146.4,63.39,33.44
2026-06-01 01:40:00,1090.9,69.53,35.64
2026-06-01 01:42:00,1070.0,70.47,35.29
2026-06-01 01:44:00,1077.4,78.49,22.6
2026-06-01 01:46:00,1069.1,68.58,25.19
2026-06-01 01:48:00,1061.8,78.82,35.84
2026-06-01 01:50:00,1068.1,77.82,30.11
2026-06-01 01:52:00,1072.3,61.67,33.38
2026-06-01 01:54:00,1050.1,86.93,38.44
2026-06-01 01:56:00,1139.6,87.51,28.4
2026-06-01 01:58:00,1073.7,89.98,37.6
2026-06-01 02:00:00,1062.3,68.24,22.75
2026-06-01 02:02:00,1052.3,85.81,32.78
2026-06-01 02:04:00,1061.7,88.38,22.14
2026-06-01 02:06:00,1077.3,86.55,34.93
2026-06-01 02:08:00,1091.2,70.43,37.0
2026-06-01 02:10:00,1090.8,87.59,39.06
2026-06-01 02:12:00,1082.7,80.27,34.43
2026-06-01 02:14:00,1132.8,92.48,29.65
2026-06-01 02:16:00,1063.4,59.92,28.73
2026-06-01 02:18:00,1071.4,68.24,31.64
2026-06-01 02:20:00,1067.9,74.96,35.05
2026-06-01 02:22:00,1091.3,80.32,22.52
2026-06-01 02:24:00,1075.7,79.19,34.56
2026-06-01 02:26:00,1065.2,74.51,25.97
2026-06-01 02:28:00,1065.1,61.36,20.01
2026-06-01 02:30:00,1087.8,86.36,34.56
2026-06-01 02:32:00,1057.0,65.71,30.08
2026-06-01 02:34:00,1070.0,79.3,25.35
2026-06-01 02:36:00,1106.8,70.62,28.71
2026-06-01 02:38:00,1090.5,61.98,23.1
2026-06-01 02:40:00,1081.7,63.6,30.17
2026-06-01 02:42:00,1086.6,66.36,29.26
2026-06-01 02:44:00,1099.5,63.81,28.72
2026-06-01 02:46:00,1053.5,72.95,36.06
